snapshot_time_utc,slug,event_id,event_title,event_updatedAt,event_endDate,market_id,condition_id,market_question,K,yes_token_id,no_token_id,pPM,qPM,pPM_source,qPM_source,T_days,T_years
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146557,0xdfb88cad30f4bc2de3ef60b1bc4c40d73cd905caba258cd56d0df8baf0d1091c,Will Google (GOOGL) finish week of January 12 above $320?,320.0,31112249992246088389608999967053051628766537976623116864101415332627174734190,99915682581850994159184003621438481772017859741275735771496356402429288557991,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146558,0x2788138bc09cae6c5cf02961dd97001e1bae2d3650f9504ae47296fda0ffba3a,Will Google (GOOGL) finish week of January 12 above $325?,325.0,29460564848639337534861927512655223820515582828873857149304018877653471049763,23734349570811405534110514909436898107366006640073213312023318750882173818788,1.0,0.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146559,0x7bed2c036a2c554afa766beb984d879237bafdf23db93cfbbf0ee00076d4c4cc,Will Google (GOOGL) finish week of January 12 above $330?,330.0,114382732641352885252558526985702066492902739427649124873719762062154072079494,95001945731152814676846381775679401814522691671582952442917148692413246485600,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146560,0x6ccf8515e0e3761e166cfb14392c0f251f662a4c6f32452ff27b4320c6bb1f65,Will Google (GOOGL) finish week of January 12 above $335?,335.0,108293249169930288291992772580953271397765984070016424709238573555787524141245,44791354394036548900890072629112070194403452879604234978556369267683423279272,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146563,0xf72ee899ce19d86326f0e1af681b59e5081cd560d8ae8737f09350ad92e19d10,Will Google (GOOGL) finish week of January 12 above $345?,345.0,70575824332522070448332634896978730775138554806672885434768976382731388366775,38817807651061328835285893430491071203834778179800420435049645842661212823274,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146565,0x205b62acfef22875c12a49894bb74e1d650213acd670b3127c3210d41125d7d9,Will Google (GOOGL) finish week of January 12 above $350?,350.0,23636676323075519822731847962707110691489058353593605804408106206233058903141,74133801806662000109326265644303175349901185517137781269703082154651402731978,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,googl-above-on-january-16-2026,154130,Will Google (GOOGL) finish week of January 12 above___?,2026-01-18T00:21:28.175886Z,2026-01-16 21:00:00+00:00,1146568,0x559aefd568f142b134e0a7348bad84a7749249c3d4896875b958753f1e948333,Will Google (GOOGL) finish week of January 12 above $355?,355.0,69185051018417754546455670502340295844525852456733078921602001934506062718943,90192947812501592435673638490470041138351421356852847085540757659645872393705,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,msft-above-on-january-16-2026,154123,Will Microsoft (MSFT) finish week of January 12 above___?,2026-01-18T00:21:28.034399Z,2026-01-16 21:00:00+00:00,1146515,0x9e5f0052e2f53cc12ab3a321a7b13395c44c67e11bb6d7750002cfc1081bdbb2,Will Microsoft (MSFT) finish week of January 12 above $540?,540.0,102232426856290293854572278354450929547824050621199304794777732065690632400123,31997174050243186952720010872598855474178488565630049011177801726963042482187,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,msft-above-on-january-16-2026,154123,Will Microsoft (MSFT) finish week of January 12 above___?,2026-01-18T00:21:28.034399Z,2026-01-16 21:00:00+00:00,1146508,0x47c2ce5448d1a45bb6cd3444866f12322ba3546556e17d98b4d69a9b90c43ad6,Will Microsoft (MSFT) finish week of January 12 above $480?,480.0,54326317491447529998449785093126741541890653060900372172082135807046008968123,18818311890419425274097341404993277455861924325304321458480481811139242981310,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
2026-01-18 12:13:01.555712+00:00,msft-above-on-january-16-2026,154123,Will Microsoft (MSFT) finish week of January 12 above___?,2026-01-18T00:21:28.034399Z,2026-01-16 21:00:00+00:00,1146510,0x16a8278ffe64e55e8f3662e93932c16a1f38e2e3794218e3bf403ff138bb3705,Will Microsoft (MSFT) finish week of January 12 above $490?,490.0,112430618110301378590031430301765804328507326694426778637918766040054420944355,59582317793886521390719945135589696592531497223299495478018035315349296460010,0.0,1.0,gamma_outcomePrices,gamma_outcomePrices,-1.6340457837037037,-0.004473773535123076
